patent_id,inventor_id
7696967,fl:ji_ln:lee-73
11435697,fl:fl_ln:cosandier-1
4247314,fl:ra_ln:wynn-2
4408395,fl:ma_ln:tell-2
12031987,fl:ki_ln:kovi-1
11107094,fl:hi_ln:iimura-1
9072296,fl:ga_ln:rayburn-1
10870674,fl:ma_ln:kupryushkin-1
10541042,fl:jo_ln:mola-2
12208154,fl:ni_ln:stebbins-2
10176553,fl:we_ln:ji-29
10572501,fl:he_ln:candello-1
D537961,fl:ro_ln:chaput-3
7913340,fl:jo_ln:kim-196
11505685,fl:to_ln:edwards-1
8894861,fl:jo_ln:baldridge-2
D1103448,fl:ji_ln:wu-468
12092181,fl:ju_ln:barthelme-3
8229871,fl:to_ln:woolf-1
10144876,fl:sh_ln:vandermerwe-1
11524924,fl:ji_ln:gu-59
8393893,fl:al_ln:knoch-2
10803790,fl:jo_ln:kang-44
4655028,fl:pe_ln:silbernagel-1
10940380,fl:ri_ln:beaver-4
7737338,fl:da_ln:mies-1
12005080,fl:yo_ln:ling-1
9903531,fl:ku_ln:chen-263
8955041,fl:ma_ln:yamada-53
8480197,fl:hi_ln:uemura-17
8538576,fl:ch_ln:cheng-471
7746337,fl:os_ln:sengoku-1
6699853,fl:ma_ln:kern-24
12226818,fl:ho_ln:zhang-135
RE47715,fl:di_ln:haerle-1
11277284,fl:hy_ln:kwon-188
7495897,fl:ak_ln:yokawa-1
6969729,fl:ti_ln:jrgensen-2
12332513,fl:na_ln:kim-43
8669318,fl:to_ln:nishimoto-3
4726023,fl:jo_ln:carter-28
9968169,fl:pe_ln:tu-11
4853921,fl:ha_ln:takeda-7
5093389,fl:ch_ln:shimizu-8
5447819,fl:fr_ln:coms-1
7865010,fl:tu_ln:le-27
9053259,fl:ya_ln:lai-18
5653654,fl:ge_ln:davis-46
7045593,fl:sh_ln:yokoyama-2
7955407,fl:h._ln:morgan-1
5870325,fl:li_ln:gardner-3
4935475,fl:hi_ln:yamaguchi-20
4407087,fl:pe_ln:huse-1
10090923,fl:yu_ln:takita-5
5422494,fl:ja_ln:staron-3
8059449,fl:ch_ln:chen-208
7756674,fl:th_ln:young-20
10883384,fl:al_ln:bourdais-1
6381624,fl:pa_ln:thayer-6
8411477,fl:gu_ln:sandhu-15
11950784,fl:ru_ln:seiber-2
11989657,fl:ni_ln:chavoshi-1
11793968,fl:je_ln:canady-1
7408326,fl:ga_ln:elder-1
12450181,fl:mi_ln:son-34
12374708,fl:th_ln:strasserkrauss-1
7944356,fl:jo_ln:tuttle-6
